"universidad_nombre","institucion_nombre","institucion_direccion","api","coordenadas","","","","","","","","","","","","","","","","","","","","",""
"Escuela Universitaria de Teologia","Escuela Universitaria de Teologia","Pasaje Catedral 1750","","-36.4494181,-57.7686044","","","","","","","","","","","","","","","","","","","","",""
"Facultad Latinoamericana de Ciencias Sociales","Facultad Latinoamericana de Ciencias Sociales","Tucuman 1966","","-34.6021735,-58.3972997","","","","","","","","","","","","","","","","","","","","",""
"Instituto Tecnologico de Buenos Aires","Instituto Tecnologico de Buenos Aires","Av. Eduardo Madero 399","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Eduardo Madero 399&provincia=2","-34.6028340446427,-58.368183272295","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Aeronautico","Instituto Universitario Aeronautico","Av. Fuerza Aerea Argentina 6500","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Fuerza Aerea Argentina 6500&provincia=14","-31.4337174,-64.2779779","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario CEMIC","Instituto Universitario CEMIC","Valdenegro 4337","","-34.5547176,-58.4972877","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario de Ciencias Biomedicas de Cordoba","Instituto Universitario de Ciencias Biomedicas de Cordoba","Naciones Unidas 400-440","","-31.4421202,-64.2033758","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario de Ciencias de la Salud de la Fundacion Barcelo","Instituto Universitario de Ciencias de la Salud de la Fundacion Barcelo","Av. Gral. Las Heras 1907","","-34.5951617,-58.4021427","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario de Gendarmeria Nacional","Instituto Universitario de Gendarmeria Nacional","Av. Paseo Colon 533","","-34.6142528,-58.371724","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario de la Policia Federal Argentina","Instituto Universitario de la Policia Federal Argentina","Rosario 532","","-34.6196133,-58.4382653","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires","Instituto Universitario de Salud Mental de la Asociacion Psicoanalitica de Buenos Aires","Baez 248","","-34.567895,-58.4361568","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario de Seguridad Maritima","Instituto Universitario de Seguridad Maritima","Av. Corrientes 345","","-34.6030978,-58.3739408","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario del Ejercito ""Mayor Francisco Romero""","Instituto Universitario del Ejercito ""Mayor Francisco Romero""","Av. Cabildo 65","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cabildo 65&provincia=2","-34.57439170160686,-58.43650022052455","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario del Gran Rosario","Instituto Universitario del Gran Rosario","Corrientes 1254","","-32.9512965,-60.6460659","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Escuela Argentina de Negocios","Instituto Universitario Escuela Argentina de Negocios","Av. Cordoba 1690","","-34.5997447,-58.3934405","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Escuela de Medicina del Hospital Italiano","Instituto Universitario Escuela de Medicina del Hospital Italiano","Potosi 4265","","-34.6071979,-58.4291149","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Escuela Superior de Economia y Administracion de Empresas","Instituto Universitario Escuela Superior de Economia y Administracion de Empresas","Uriarte 2472","","-34.5809241,-58.4253568","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario ISEDET","Instituto Universitario ISEDET","Camacua 282","","-34.6307959,-58.4656187","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Italiano de Rosario","Instituto Universitario Italiano de Rosario","Crespo 843","","-32.9415838,-60.6705633","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""","Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""","Av. Pueyrredon 19","","-34.6097284,-58.4079993","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Nacional del Arte","Instituto Universitario Nacional del Arte","Azcuenaga 1129","","-34.5946906,-58.4018519","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Naval","Instituto Universitario Naval","Francisco Narciso de Laprida 555","","-34.5945248,-58.469703","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario Patagonico de las Artes","Instituto Universitario Patagonico de las Artes","Rivadavia 2263,","","-39.0178878,-67.5960898","","","","","","","","","","","","","","","","","","","","",""
"Instituto Universitario River Plate","Instituto Universitario River Plate","Av. Pres. Figueroa Alcorta 7597","","-34.5453018,-58.4519636","","","","","","","","","","","","","","","","","","","","",""
"Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires","Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires","AvENIDA Alicia Moreau de Justo 1600","http://apis.datos.gob.ar/georef/api/direcciones?direccion=AvENIDA Alicia Moreau de Justo 1600&provincia=2","-34.6148453,-58.3668853","","","","","","","","","","","","","","","","","","","","",""
"Universidad  Favaloro","Universidad  Favaloro","Av. Entre Rios 495","","-34.6148113,-58.3940258","","","","","","","","","","","","","","","","","","","","",""
"Universidad Abierta Interamericana","Universidad Abierta Interamericana","Av. San Juan 951","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. San Juan 951&provincia=2"," -34.6221199173329, -58.379325181549746","","","","","","","","","","","","","","","","","","","","",""
"Universidad Adventista del Plata","Universidad Adventista del Plata","25 de mayo 99","http://apis.datos.gob.ar/georef/api/direcciones?direccion=25 de mayo 99","-32.0759594,-60.4665987","","","","","","","","","","","","","","","","","","","","",""
"Universidad Argentina de la Empresa","Universidad Argentina de la Empresa","Lima 775","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Lima 775","-34.6173746323554,-58.381525671564","","","","","","","","","","","","","","","","","","","","",""
"Universidad Argentina John F. Kennedy","Universidad Argentina John F. Kennedy","Bartolome Mitre 1411","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Bartolome Mitre 1411&provincia=2","-34.60762266844467,-58.38645625343852","","","","","","","","","","","","","","","","","","","","",""
"Universidad Atlantida Argentina","Universidad Atlantida Argentina","Belgrano 89","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Belgrano 89&provincia=6","-37.1552476,-57.7427199","","","","","","","","","","","","","","","","","","","","",""
"Universidad Austral","Universidad Austral","Mariano Acosta 1611","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mariano Acosta 1611&provincia=6"," -34.47094214462022, -58.847032888622834","","","","","","","","","","","","","","","","","","","","",""
"Universidad Autonoma de Entre rios","Universidad Autonoma de Entre rios","Gral. Justo Jose de Urquiza 732","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Gral. Justo Jose de Urquiza 732","-32.0752125,-61.5334031","","","","","","","","","","","","","","","","","","","","",""
"Universidad Blas Pascal","Universidad Blas Pascal","Rodriguez Peña 1085","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Rodriguez Peña 1085&provincia=2","-34.59603749231513,-58.39193924933041","","","","","","","","","","","","","","","","","","","","",""
"Universidad CAECE","Universidad CAECE","Av. de Mayo 866","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. de Mayo 866","-34.608865810462795,-58.378716306442456","","","","","","","","","","","","","","","","","","","","",""
"Universidad Catolica de Cordoba","Universidad Catolica de Cordoba","Obispo Trejo 323","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Obispo Trejo 323&provincia=14","-31.4527657,-64.2513093","","","","","","","","","","","","","","","","","","","","",""
"Universidad Catolica de Cuyo","Universidad Catolica de Cuyo","Av. Jose Ignacio de la Roza 1516","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Jose Ignacio de la Roza 1516","-31.5403667,-68.5882198","","","","","","","","","","","","","","","","","","","","",""
"Universidad Catolica de La Plata","Universidad Catolica de La Plata","Av. 13 1227","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. 13 1227&provincia=6"," -34.924457391060656, -57.950327388915824","","","","","","","","","","","","","","","","","","","","",""
"Universidad Catolica de las Misiones","Universidad Catolica de las Misiones","Av. Jauretche 3300","","-27.3558553,-55.9417525","","","","","","","","","","","","","","","","","","","","",""
"Universidad Catolica de Salta","Universidad Catolica de Salta","Av. Presidente Roque Saenz Peña 950","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Presidente Roque Saenz Peña 950&provincia=2","-24.7399552,-65.3940334","","","","","","","","","","","","","","","","","","","","",""
"Universidad Catolica de Santa Fe","Universidad Catolica de Santa Fe","Echagüe 7151","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Echagüe 7151&provincia=82"," -31.607095036472234, -60.67088878632154","","","","","","","","","","","","","","","","","","","","",""
"Universidad Catolica de Santiago del Estero","Universidad Catolica de Santiago del Estero","Rivadavia 578","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Rivadavia 578&provincia=6","-34.46911816523541,-58.51514668806574","","","","","","","","","","","","","","","","","","","","",""
"Universidad Champagnat","Universidad Champagnat","Belgrano 721","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Belgrano 721","-33.8848483,-67.5266833","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Belgrano","Universidad de Belgrano","Zabala 1837","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Zabala 1837&provincia=2","-34.564446626972675,-58.44400348234273","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Buenos Aires","Universidad de Buenos Aires","Viamonte 430","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Viamonte 430&provincia=2","-34.59971093266858,-58.37308898582941","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Ciencias Empresariales y Sociales","Universidad de Ciencias Empresariales y Sociales","Paraguay 1401","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Paraguay 1401&provincia=2","-34.5982797695651,-58.3869599869626","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Concepcion del Uruguay","Universidad de Concepcion del Uruguay","8 de Junio 522","","-32.4815741,-58.2318849","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Congreso","Universidad de Congreso","Av. Callao 150","","-34.6021519,-58.3890774","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Flores","Universidad de Flores","Av. Rivadavia 5741","","-34.6274699,-58.4589968","","","","","","","","","","","","","","","","","","","","",""
"Universidad de la Cuenca del Plata","Universidad de la Cuenca del Plata","Donovan 521","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Donovan 521","-27.3750927,-55.9028806","","","","","","","","","","","","","","","","","","","","",""
"Universidad de la Defensa Nacional","Universidad de la Defensa Nacional","Maipu 262","","-34.6050036,-58.3788407","","","","","","","","","","","","","","","","","","","","",""
"Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino","Universidad de la Fraternidad de Agrupaciones Santo Tomas de Aquino","Avellaneda 3341","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avellaneda 3341&provincia=6","-38.00719142806125,-57.563677285266195","","","","","","","","","","","","","","","","","","","","",""
"Universidad de la Marina Mercante","Universidad de la Marina Mercante","Av. Rivadavia 2258","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Rivadavia 2258&provincia=2"," -34.60965001204205, -58.398471321349234","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Mendoza","Universidad de Mendoza","Av. Boulogne Sur Mer 683","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Boulogne Sur Mer 683&provincia=50","-32.8916714,-68.8635323","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Moron","Universidad de Moron","Cabildo 134","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Cabildo 134&provincia=6"," -34.64724004619001, -58.61977592468715","","","","","","","","","","","","","","","","","","","","",""
"Universidad de Palermo","Universidad de Palermo","Mario Bravo 1050","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mario Bravo 1050&provincia=2","-34.5972849453752,-58.41576251085405","","","","","","","","","","","","","","","","","","","","",""
"Universidad de San Andres","Universidad de San Andres","Vito Dumas 284","","-34.4461156,-58.5321377","","","","","","","","","","","","","","","","","","","","",""
"Universidad de San Isidro ""Dr. Placido Marin""","Universidad de San Isidro ""Dr. Placido Marin""","Av. del Libertador 17175","","-34.4617796,-58.5203287","","","","","","","","","","","","","","","","","","","","",""
