anio,carrera_grupo,carrera_nombre,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct
2010,Abogado,Abogacia,197845.0,70408.0,91945.0,41860.0,16500.0,19749.0,10773.0,3382.0,4612.0,0.4647324926078496,0.4717869087434305
2010,Abogado,Criminologia,285.0,171.0,114.0,42.0,15.0,27.0,14.0,9.0,5.0,0.4,0.6428571428571429
2010,Abogado,Derecho y Ciencias Juridicas,14546.0,6301.0,8245.0,4096.0,1774.0,2322.0,1697.0,351.0,356.0,0.5668224941564691,0.56689453125
2010,Abogado,Filosofia,34.0,18.0,16.0,26.0,14.0,12.0,1.0,1.0,0.0,0.47058823529411764,0.46153846153846156
2010,Arquitectura,Arquitectura y Urbanismo,55371.0,21080.0,18887.0,9273.0,3429.0,3263.0,2535.0,890.0,993.0,0.34109913131422587,0.35188180739782166
2010,Arquitectura,Ciencias del Ambiente y Recursos Naturales,36.0,16.0,20.0,27.0,13.0,14.0,0.0,0.0,0.0,0.5555555555555556,0.5185185185185185
2010,Arquitectura,Construcciones,164.0,134.0,30.0,67.0,56.0,11.0,4.0,2.0,2.0,0.18292682926829268,0.16417910447761194
2010,Arquitectura,Diseño de Interiores,2094.0,266.0,1828.0,574.0,76.0,498.0,104.0,10.0,94.0,0.8729703915950334,0.867595818815331
2010,Arquitectura,Ingenieria Naval,182.0,133.0,15.0,62.0,33.0,6.0,10.0,10.0,0.0,0.08241758241758242,0.0967741935483871
2010,Arquitectura,Ingenieria Vial,62.0,58.0,4.0,48.0,45.0,3.0,2.0,2.0,0.0,0.06451612903225806,0.0625
2010,Arquitectura,Logistica y Transportes,39.0,34.0,5.0,24.0,20.0,4.0,0.0,0.0,0.0,0.1282051282051282,0.16666666666666666
2010,Arquitectura,"Paisajismo, Jardineria y Floricultura",25.0,7.0,18.0,11.0,3.0,8.0,7.0,2.0,5.0,0.72,0.7272727272727273
2010,Arquitectura,Sociologia,57.0,21.0,36.0,32.0,11.0,21.0,0.0,0.0,0.0,0.631578947368421,0.65625
2010,Arte,Administracion Publica,151.0,35.0,116.0,18.0,5.0,13.0,4.0,2.0,2.0,0.7682119205298014,0.7222222222222222
2010,Arte,Administracion y Gestion Cultural,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,5.0,,
2010,Arte,Arquitectura y Urbanismo,173.0,116.0,57.0,111.0,76.0,35.0,3.0,0.0,3.0,0.32947976878612717,0.3153153153153153
2010,Arte,Artes Audiovisuales,16745.0,5118.0,7062.0,4833.0,1591.0,2133.0,522.0,187.0,209.0,0.421737832188713,0.441340782122905
2010,Arte,Artes Plasticas,10955.0,1982.0,6459.0,2547.0,510.0,1499.0,287.0,68.0,186.0,0.589593792788681,0.5885355319984296
2010,Arte,"Computacion, Sistemas e Informatica",34.0,28.0,6.0,4.0,4.0,0.0,7.0,6.0,1.0,0.17647058823529413,0.0
2010,Arte,Comunicacion Social,134.0,65.0,69.0,11.0,2.0,9.0,14.0,4.0,10.0,0.5149253731343284,0.8181818181818182
2010,Arte,Diseño Grafico,19056.0,4379.0,4850.0,4971.0,1332.0,1488.0,951.0,213.0,322.0,0.2545130142737196,0.2993361496680748
2010,Arte,Diseño Industrial,9701.0,4105.0,2931.0,2438.0,1113.0,780.0,377.0,168.0,125.0,0.3021338006391094,0.3199343724364233
2010,Arte,Diseño Textil y de Indumentaria,9279.0,135.0,2518.0,2364.0,47.0,818.0,324.0,5.0,165.0,0.27136544886302405,0.3460236886632826
2010,Arte,Diseño de Interiores,1730.0,449.0,1281.0,509.0,168.0,341.0,90.0,17.0,73.0,0.7404624277456647,0.6699410609037328
2010,Arte,Estadistica,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
2010,Arte,Fisica,5.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.4,1.0
2010,Arte,Formacion Docente para el nivel medio y/o superior universitario y no,28.0,12.0,16.0,0.0,0.0,0.0,12.0,3.0,9.0,0.5714285714285714,
2010,Arte,Ingenieria Electronica,39.0,29.0,10.0,39.0,29.0,10.0,0.0,0.0,0.0,0.2564102564102564,0.2564102564102564
2010,Arte,Ingenieria Forestal e Industrias de la Madera,20.0,16.0,4.0,7.0,6.0,1.0,0.0,0.0,0.0,0.2,0.14285714285714285
2010,Arte,Ingenieria Industrial,446.0,60.0,386.0,123.0,19.0,104.0,7.0,2.0,5.0,0.8654708520179372,0.8455284552845529
2010,Arte,Letras,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,4.0,,
2010,Arte,Meteorologia,11.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7272727272727273,
2010,Arte,Musica,7607.0,5371.0,2236.0,2346.0,1663.0,683.0,203.0,102.0,101.0,0.29393979229656897,0.2911338448422847
2010,Arte,"Paisajismo, Jardineria y Floricultura",490.0,31.0,89.0,141.0,14.0,44.0,14.0,2.0,3.0,0.1816326530612245,0.3120567375886525
2010,Arte,Publicidad,0.0,0.0,0.0,0.0,0.0,0.0,74.0,37.0,37.0,,
2010,Arte,Relaciones Publicas,6.0,4.0,2.0,6.0,4.0,2.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
2010,Arte,Teatro y Danza,7013.0,1702.0,5311.0,1919.0,479.0,1440.0,85.0,20.0,65.0,0.7573078568373022,0.7503908285565398
2010,Arte,Terapia Ocupacional,75.0,5.0,70.0,46.0,2.0,44.0,0.0,0.0,0.0,0.9333333333333333,0.9565217391304348
2010,Arte,optica,67.0,7.0,60.0,67.0,7.0,60.0,0.0,0.0,0.0,0.8955223880597015,0.8955223880597015
2010,Deporte,Actividad Fisica y Deportes,1092.0,580.0,512.0,292.0,154.0,138.0,70.0,38.0,32.0,0.46886446886446886,0.4726027397260274
2010,Deporte,Educacion Fisica y Deportes,453.0,172.0,281.0,149.0,55.0,94.0,56.0,17.0,39.0,0.6203090507726269,0.6308724832214765
2010,Deporte,Fisica,63.0,36.0,27.0,0.0,0.0,0.0,3.0,2.0,1.0,0.42857142857142855,
2010,Deporte,Formacion Docente para el nivel medio y/o superior universitario y no,21.0,14.0,7.0,0.0,0.0,0.0,3.0,3.0,0.0,0.3333333333333333,
2010,Deporte,Periodismo,814.0,627.0,187.0,344.0,276.0,68.0,0.0,0.0,0.0,0.22972972972972974,0.19767441860465115
2010,Deporte,Terapia Ocupacional,284.0,140.0,144.0,70.0,41.0,29.0,22.0,8.0,14.0,0.5070422535211268,0.4142857142857143
2010,Derecho,Contabilidad,920.0,450.0,470.0,176.0,83.0,93.0,96.0,48.0,48.0,0.5108695652173914,0.5284090909090909
2010,Derecho,Derecho y Ciencias Juridicas,6225.0,2533.0,3692.0,1713.0,778.0,935.0,1891.0,787.0,1066.0,0.5930923694779117,0.545826036193812
2010,Derecho,Filosofia,9.0,2.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.7777777777777778,0.6666666666666666
2010,Derecho,Formacion Docente para el nivel medio y/o superior universitario y no,944.0,76.0,239.0,307.0,6.0,30.0,121.0,27.0,67.0,0.2531779661016949,0.09771986970684039
2010,Derecho,Martillero Publico,9844.0,5099.0,4745.0,5375.0,2799.0,2576.0,901.0,436.0,465.0,0.4820195042665583,0.4792558139534884
2010,Derecho,Notariado,5539.0,1701.0,3838.0,1513.0,552.0,961.0,293.0,66.0,227.0,0.6929048564722874,0.6351619299405156
2010,Derecho,Sociologia,5.0,1.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8,1.0
2010,Economicas,Actividad Fisica y Deportes,46.0,21.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,
2010,Economicas,Actuario,4475.0,58.0,112.0,274.0,6.0,14.0,43.0,1.0,5.0,0.025027932960893853,0.051094890510948905
2010,Economicas,Administracion Hospitalaria y de Sistemas de Salud,485.0,211.0,274.0,202.0,102.0,100.0,16.0,6.0,10.0,0.5649484536082474,0.49504950495049505
2010,Economicas,Administracion Hotelera,2042.0,491.0,1551.0,453.0,125.0,328.0,215.0,45.0,170.0,0.7595494613124388,0.7240618101545254
2010,Economicas,Administracion Publica,2521.0,1099.0,1422.0,812.0,405.0,407.0,210.0,100.0,110.0,0.5640618802062674,0.5012315270935961
2010,Economicas,Administracion de Empresas Agropecuarias,3178.0,1676.0,946.0,752.0,432.0,221.0,174.0,90.0,69.0,0.2976714915040906,0.29388297872340424
2010,Economicas,Administracion y Gestion Ambiental,81.0,50.0,31.0,21.0,15.0,6.0,9.0,6.0,3.0,0.38271604938271603,0.2857142857142857
2010,Economicas,Administracion y Gestion Cultural,1392.0,460.0,932.0,297.0,84.0,213.0,49.0,15.0,34.0,0.6695402298850575,0.7171717171717171
2010,Economicas,Adminsitracion y Produccion de seguros,81.0,50.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.38271604938271603,
2010,Economicas,Arquitectura y Urbanismo,119.0,55.0,64.0,3.0,1.0,2.0,8.0,2.0,6.0,0.5378151260504201,0.6666666666666666
2010,Economicas,Bibliotecologia y Documentacion,551.0,124.0,427.0,150.0,45.0,105.0,19.0,10.0,9.0,0.7749546279491834,0.7
2010,Economicas,Bromatologia,75.0,18.0,57.0,16.0,1.0,15.0,8.0,2.0,6.0,0.76,0.9375
2010,Economicas,Ciencia Politica,891.0,685.0,206.0,170.0,118.0,52.0,219.0,204.0,15.0,0.23120089786756454,0.3058823529411765
2010,Economicas,Ciencias de la Educacion,791.0,212.0,579.0,255.0,68.0,187.0,60.0,10.0,50.0,0.7319848293299621,0.7333333333333333
2010,Economicas,Ciencias del Ambiente y Recursos Naturales,61.0,31.0,30.0,7.0,4.0,3.0,5.0,2.0,3.0,0.4918032786885246,0.42857142857142855
2010,Economicas,Comercializacion y Marketing,13552.0,7932.0,5620.0,4585.0,2761.0,1824.0,1138.0,574.0,564.0,0.41469893742621017,0.39781897491821155
2010,Economicas,Comercio Exterior,13691.0,7056.0,6635.0,3030.0,1597.0,1433.0,951.0,453.0,498.0,0.48462493608940177,0.47293729372937293
2010,Economicas,Comercio Internacional,1724.0,925.0,799.0,713.0,375.0,338.0,109.0,60.0,49.0,0.4634570765661253,0.4740532959326788
2010,Economicas,"Computacion, Sistemas e Informatica",1777.0,535.0,140.0,450.0,173.0,33.0,154.0,53.0,40.0,0.07878446820483961,0.07333333333333333
2010,Economicas,Comunicacion Social,40.0,20.0,20.0,18.0,7.0,11.0,0.0,0.0,0.0,0.5,0.6111111111111112
