anio,carrera_grupo,carrera_nombre,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Arquitectura,Arquitectura y Urbanismo,59669.0,30730.0,28939.0,9567.0,4717.0,4850.0,3052.0,1400.0,1652.0,0.48499220700866447,0.5069509773178635,0.5150077929913356
2011,Arquitectura,Construcciones,155.0,130.0,25.0,56.0,47.0,9.0,9.0,9.0,0.0,0.16129032258064516,0.16071428571428573,0.8387096774193549
2011,Arquitectura,Diseño Industrial,10483.0,5998.0,4485.0,2198.0,1224.0,974.0,538.0,261.0,277.0,0.42783554326051704,0.44313011828935395,0.572164456739483
2011,Arquitectura,Diseño de Interiores,3403.0,531.0,2872.0,746.0,126.0,620.0,256.0,29.0,227.0,0.8439612106964444,0.8310991957104558,0.1560387893035557
2011,Arquitectura,Ingenieria Naval,221.0,203.0,18.0,42.0,39.0,3.0,3.0,3.0,0.0,0.08144796380090498,0.07142857142857142,0.918552036199095
2011,Arquitectura,Ingenieria Vial,65.0,60.0,5.0,35.0,31.0,4.0,1.0,0.0,1.0,0.07692307692307693,0.11428571428571428,0.9230769230769231
2011,Arquitectura,Ingenieria en Construcciones,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
2011,Arquitectura,Sociologia,28.0,11.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,0.6071428571428571,,0.39285714285714285
2011,Arte,Administracion Publica,44.0,10.0,34.0,42.0,11.0,31.0,13.0,1.0,12.0,0.7727272727272727,0.7380952380952381,0.22727272727272727
2011,Arte,Administracion y Gestion Cultural,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,11.0,,,
2011,Arte,Artes Audiovisuales,19924.0,8823.0,11101.0,5193.0,2487.0,2706.0,594.0,282.0,312.0,0.5571672354948806,0.5210860774119006,0.44283276450511944
2011,Arte,Artes Plasticas,5663.0,1329.0,4334.0,1260.0,334.0,926.0,314.0,43.0,271.0,0.765318735652481,0.734920634920635,0.234681264347519
2011,Arte,Comunicacion Social,143.0,69.0,74.0,19.0,6.0,13.0,14.0,4.0,10.0,0.5174825174825175,0.6842105263157895,0.4825174825174825
2011,Arte,Diseño Grafico,26521.0,11178.0,15343.0,5298.0,2198.0,3100.0,1436.0,513.0,923.0,0.5785226801402662,0.585126462816157,0.4214773198597338
2011,Arte,Diseño Textil y de Indumentaria,11084.0,555.0,10529.0,2476.0,136.0,2340.0,587.0,17.0,570.0,0.9499278238902923,0.9450726978998385,0.05007217610970768
2011,Arte,Fisica,6.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.6666666666666666
2011,Arte,Ingenieria Forestal e Industrias de la Madera,27.0,25.0,2.0,10.0,10.0,0.0,1.0,1.0,0.0,0.07407407407407407,0.0,0.9259259259259259
2011,Arte,Ingenieria Industrial,483.0,75.0,408.0,138.0,27.0,111.0,8.0,0.0,8.0,0.84472049689441,0.8043478260869565,0.15527950310559005
2011,Arte,Musica,10475.0,6947.0,3528.0,2857.0,1916.0,941.0,251.0,112.0,139.0,0.3368019093078759,0.32936646832341615,0.6631980906921241
2011,Arte,Radiologia y Diagnostico por Imagenes,0.0,0.0,0.0,0.0,0.0,0.0,39.0,4.0,35.0,,,
2011,Arte,Relaciones Publicas,3.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2011,Arte,Teatro y Danza,2419.0,673.0,1746.0,546.0,143.0,403.0,76.0,14.0,62.0,0.7217858619264159,0.7380952380952381,0.27821413807358414
2011,Deporte,Actividad Fisica y Deportes,2187.0,1192.0,995.0,649.0,398.0,251.0,153.0,98.0,55.0,0.45496113397347965,0.386748844375963,0.5450388660265203
2011,Deporte,Fisica,63.0,36.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,,0.5714285714285714
2011,Deporte,Periodismo,1058.0,810.0,248.0,335.0,262.0,73.0,21.0,9.0,12.0,0.23440453686200377,0.21791044776119403,0.7655954631379962
2011,Derecho,Abogacia,197842.0,84481.0,113361.0,39609.0,17668.0,21941.0,10245.0,4290.0,5955.0,0.5729875355081328,0.5539397611653917,0.42701246449186725
2011,Derecho,Ciencia Politica,21.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,,0.5238095238095238
2011,Derecho,Contabilidad,2107.0,1001.0,1106.0,468.0,214.0,254.0,190.0,98.0,92.0,0.5249169435215947,0.5427350427350427,0.4750830564784053
2011,Derecho,Derecho y Ciencias Juridicas,24562.0,10760.0,13802.0,6392.0,2865.0,3527.0,3912.0,1684.0,2228.0,0.5619249246804007,0.5517834793491865,0.4380750753195994
2011,Derecho,Filosofia,68.0,37.0,31.0,30.0,17.0,13.0,2.0,1.0,1.0,0.45588235294117646,0.43333333333333335,0.5441176470588235
