anio,provincia_id,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,estudiantes_grupo_pct
2011,02,Arquitectura,27018.0,13681.0,13337.0,4833.0,2317.0,2516.0,1594.0,748.0,846.0,0.4936338737138204,0.04690120160677149
2011,02,Arte,39501.0,11971.0,27530.0,8614.0,2669.0,5945.0,2099.0,529.0,1570.0,0.6969443811549074,0.06857074412129249
2011,02,Deporte,1019.0,561.0,458.0,250.0,148.0,102.0,104.0,60.0,44.0,0.4494602551521099,0.0017689068190576709
2011,02,Derecho,62661.0,27282.0,35379.0,12744.0,5664.0,7080.0,5756.0,2460.0,3296.0,0.5646095657586059,0.10877474994011062
2011,02,Economicas,137467.0,65319.0,72148.0,29461.0,13912.0,15549.0,11157.0,5036.0,6121.0,0.5248386885579812,0.2386322999954866
2011,02,Educacion,12510.0,2817.0,9693.0,5151.0,1368.0,3783.0,1882.0,404.0,1478.0,0.7748201438848921,0.02171641246949113
2011,02,Exactas,9923.0,5388.0,4535.0,2063.0,985.0,1078.0,486.0,252.0,234.0,0.45701904665927645,0.01722557641364992
2011,02,Idiomas,10405.0,2571.0,7834.0,1981.0,445.0,1536.0,430.0,56.0,374.0,0.752907256126862,0.018062291906079553
2011,02,Ingenieria,14780.0,12383.0,2397.0,3221.0,2644.0,577.0,503.0,426.0,77.0,0.1621786197564276,0.025656960535497916
2011,02,Naturales,28308.0,11640.0,16668.0,5234.0,2230.0,3004.0,1398.0,601.0,797.0,0.5888088172954642,0.049140543899788565
2011,02,Otros,3285.0,834.0,2451.0,950.0,192.0,758.0,1.0,0.0,1.0,0.7461187214611872,0.005702511188031844
2011,02,Policial,672.0,349.0,323.0,404.0,251.0,153.0,20.0,13.0,7.0,0.4806547619047619,0.0011665411014786602
2011,02,Psicologia,45054.0,9035.0,36019.0,8916.0,1981.0,6935.0,2960.0,440.0,2520.0,0.7994628667820837,0.07821033152681482
2011,02,Salud,88546.0,24854.0,63692.0,21450.0,5969.0,15481.0,6335.0,1805.0,4530.0,0.7193097373116798,0.15370914936239502
2011,02,Sociales,54601.0,23344.0,31257.0,9655.0,4409.0,5246.0,2707.0,973.0,1734.0,0.5724620428197286,0.0947832004193993
2011,02,Tecnologia,40312.0,33805.0,6507.0,8978.0,7557.0,1421.0,1828.0,1522.0,306.0,0.16141595554673546,0.06997857869465439
2011,06,Arquitectura,12556.0,6967.0,5589.0,1918.0,996.0,922.0,498.0,255.0,243.0,0.44512583625358393,0.043339293234016994
2011,06,Arte,12778.0,6906.0,5872.0,3251.0,1707.0,1544.0,345.0,120.0,225.0,0.4595398340898419,0.04410556617905935
2011,06,Deporte,1875.0,1289.0,586.0,614.0,454.0,160.0,60.0,44.0,16.0,0.31253333333333333,0.006471899873668515
2011,06,Derecho,41662.0,18346.0,23316.0,8134.0,3717.0,4417.0,2966.0,1299.0,1667.0,0.559646680428208,0.14380388935294808
2011,06,Economicas,74134.0,31399.0,42735.0,17224.0,7469.0,9755.0,3762.0,1514.0,2248.0,0.5764561469770956,0.2558868401250889
2011,06,Educacion,10438.0,2662.0,7776.0,3067.0,732.0,2335.0,502.0,97.0,405.0,0.7449703008239126,0.03602863513672104
2011,06,Exactas,6597.0,3089.0,3508.0,1319.0,628.0,691.0,377.0,169.0,208.0,0.5317568591784144,0.022770732515515302
2011,06,Idiomas,1038.0,185.0,853.0,238.0,59.0,179.0,44.0,6.0,38.0,0.8217726396917149,0.00358284377006289
2011,06,Ingenieria,15802.0,13332.0,2470.0,3364.0,2794.0,570.0,679.0,561.0,118.0,0.156309327933173,0.05454344629531193
2011,06,Letras,182.0,35.0,147.0,17.0,4.0,13.0,2.0,0.0,2.0,0.8076923076923077,0.0006282057477374238
2011,06,Naturales,19004.0,9326.0,9678.0,3807.0,1813.0,1994.0,918.0,430.0,488.0,0.5092612081667017,0.06559572543957144
2011,06,Policial,291.0,167.0,124.0,0.0,0.0,0.0,39.0,25.0,14.0,0.4261168384879725,0.0010044388603933534
2011,06,Psicologia,17210.0,3107.0,14103.0,2853.0,576.0,2277.0,1191.0,155.0,1036.0,0.8194654270772807,0.05940341164044541
2011,06,Salud,26209.0,6993.0,19216.0,6166.0,1336.0,4830.0,2129.0,521.0,1608.0,0.7331832576595826,0.09046507935412165
2011,06,Sociales,23392.0,9480.0,13912.0,5500.0,2393.0,3107.0,1031.0,333.0,698.0,0.594733242134063,0.08074169698392207
2011,06,Tecnologia,26546.0,21571.0,4975.0,5340.0,4447.0,893.0,840.0,657.0,183.0,0.18741053266028782,0.09162829549141567
2011,10,Derecho,1413.0,539.0,874.0,362.0,149.0,213.0,48.0,19.0,29.0,0.6185421089879689,0.12434002111932418
2011,10,Economicas,1747.0,855.0,892.0,323.0,202.0,121.0,56.0,25.0,31.0,0.5105895821408128,0.15373108060542062
2011,10,Educacion,1421.0,566.0,855.0,241.0,112.0,129.0,53.0,16.0,37.0,0.601688951442646,0.12504399859204504
2011,10,Exactas,752.0,302.0,450.0,212.0,81.0,131.0,24.0,7.0,17.0,0.598404255319149,0.06617388243576205
