institucion_nombre,institucion_direccion,api,coordenadas,lat,lon,departamento_id,departamento_nombre,latitud,longitud,municipio_id,municipio_nombre,provincia_id,provincia_nombre,carrera_grupo,carrera_nombre
Universidad CAECE,Av. de Mayo 866,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. de Mayo 866,"-34.608865810462795,-58.378716306442456",-34.608865810462795,-58.378716306442456,02007,Comuna 1,-34.608865810462795,-58.378716306442456,,,02,Ciudad Autónoma de Buenos Aires,"Naturales,Educacion,Arte,Salud,Psicologia,Economicas,Tecnologia,Sociales,Deporte,Ingenieria,Exactas","Administracion Hospitalaria y de Sistemas de Salud,Formacion Docente para el nivel medio y/o superior universitario y no universitario,Tecnologia y Ciencias Aplicadas,Ciencias del Ambiente y Recursos Naturales,Psicopedagogia,Quimica,Comercializacion y Marketing,Sociologia,Ingenieria Industrial,Comunicacion Social,Turismo y Hoteleria,Periodismo,Actividad Fisica y Deportes,Diseño Grafico,Contador Publico Nacional,Educacion Especial,Administracion Hotelera,Educacion Fisica y Deportes,Biologia,Gestion y Administracion de Empresas,Finanzas y Negocios,Comercio Exterior,Psicologia,Matematica,Computacion, Sistemas e Informatica,Ingenieria en Sistemas,Relaciones Publicas,Higiene y Seguridad Industrial,Ciencia Politica,Ingles,Filosofia,Publicidad,Formacion Docente para el nivel medio y/o superior universitario y no,Ciencias de la Educacion,Marketing y Comercializacion,Administracion de Empresas Agropecuarias"
Universidad Nacional de Córdoba,Av. Haya de la Torre s/n,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Haya de la Torre s/n&provincia=14,"-31.4354809,-64.1877589",-31.4354809,-64.1877589,14014,Capital,-31.4354809,-64.1877589,140077,Córdoba,14,Córdoba,,
Universidad Nacional de Rosario,Maipú 1065,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Maipú 1065&provincia=82,"-32.950309649805945,-60.636126952347716",-32.950309649805945,-60.636126952347716,82084,Rosario,-32.950309649805945,-60.636126952347716,,,82,Santa Fe,"Otros,Derecho,Arquitectura,Naturales,Educacion,Abogado,Arte,Salud,Psicologia,Economicas,Letras,Sociales,Tecnologia,Ingenieria,Exactas","Formacion Docente para el nivel medio y/o superior universitario y no universitario,Ciencias del Ambiente y Recursos Naturales,Ingenieria Agronomica,Comercializacion y Marketing,Tecnologia e Ingenieria en Alimentos,Ingenieria en Agrimensura,Ingenieria en Materiales,Contador Publico Nacional,Contabilidad,Biologia,Arquitectura y Urbanismo,Ingenieria en Construcciones,Psicologia,Fonoaudiologia,Ingenieria Hidraulica,Produccion Animal,Odontologia,Antropologia,Letras,Economia,Organizacion y Produccion Industrial,Kinesiologia,Quimica,Sociologia,Notariado,Relaciones Laborales,Electronica,Veterinaria,Produccion e Ingenieria Agropecuaria,Abogacia,Gestion y Administracion de Empresas,Historia,Higiene y Seguridad Industrial,Ciencia Politica,Filosofia,Fisica,Musica,Artes Audiovisuales,Ciencias de la Educacion,Electromecanica,Bioingenieria,Administracion Hospitalaria y de Sistemas de Salud,Derecho y Ciencias Juridicas,Ingenieria Vial,Trabajo Social,optica,Administracion Publica,Geriatria y Gerontologia,Medicina,Relaciones Internacionales,Administracion Hotelera,Finanzas y Negocios,Agrimensura,Comercio Exterior,Matematica,Computacion, Sistemas e Informatica,Bioquimica,Criminologia,Ingenieria Electrica,Tecnologia y Ciencias Aplicadas,Geofisica,Construcciones,Carrera No Definida,Ingenieria Civil,Ingenieria Industrial,Comunicacion Social,Enfermeria,Radiologia y Diagnostico por Imagenes,Obstetricia,Artes Plasticas,Farmacia,Ingenieria Electronica,Ingenieria Mecanica,Portugues,Estadistica,Salud Publica,Formacion Docente para el nivel medio y/o superior universitario y no,Anestesiologia,Ingenieria Basica,Administracion de Empresas Agropecuarias"
Universidad Nacional de Río Cuarto,Ruta Nac. 36 - Km. 601,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ruta Nac. 36 - Km. 601&provincia=14,"-33.084594014186514,-64.3349444221352",-33.084594014186514,-64.3349444221352,14098,Río Cuarto,-33.084594014186514,-64.3349444221352,140861,Río Cuarto,14,Córdoba,,
Universidad Nacional de San Juan,Mitre 396,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mitre 396,"-31.5354691,-68.5412352,15",-31.5354691,-68.5412352,70028,Capital,-31.5354691,-68.5412352,700028,San Juan,70,San Juan,"Arquitectura,Educacion,Naturales,Abogado,Arte,Salud,Tecnologia,Economicas,Sociales,Letras,Ingenieria,Exactas","Formacion Docente de Nivel Superior y Universitario,Tecnologia y Ciencias Aplicadas,Formacion Docente para el nivel medio y/o superior universitario y no universitario,Ciencias del Ambiente y Recursos Naturales,Astronomia,Mineria,Sociologia,Ingenieria Agronomica,Geofisica,Ingenieria Vial,Tecnologia e Ingenieria en Alimentos,Educacion Basica,Ingenieria en Agrimensura,Quimica,Tecnologia e Ingenieria Minera,Ingenieria Civil,Ingenieria Industrial,Comunicacion Social,Trabajo Social,Turismo y Hoteleria,Periodismo,Geografia,Enfermeria,Diseño Industrial,Diseño Grafico,Administracion Publica,Contador Publico Nacional,Arqueologia,Abogacia,Biologia,Produccion e Ingenieria Agropecuaria,Gestion y Administracion de Empresas,Artes Plasticas,Historia,Arquitectura y Urbanismo,Ingenieria Quimica,Ingenieria en Construcciones,Ingenieria Electronica,Agrimensura,Geologia,Matematica,Computacion, Sistemas e Informatica,Ingenieria Electromecanica,Ingenieria en Sistemas,Ingenieria Mecanica,Ciencia Politica,Ingles,Ingenieria Hidraulica,Filosofia,Martillero Publico,Criminologia,Musica,Publicidad,Letras,Formacion Docente para el nivel medio y/o superior universitario y no,Artes Audiovisuales,Ingenieria Electrica,Ciencias de la Educacion,Ingenieria Metalurgica,Bioingenieria"
Universidad Nacional de San Luis,Ejército de los Andes 950,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ejército de los Andes 950,"-33.2962223,-66.3441194",-33.2962223,-66.3441194,74056,Juan Martín de Pueyrredón,-33.2962223,-66.3441194,740133,San Luis,74,San Luis,"Derecho,Arquitectura,Educacion,Naturales,Abogado,Arte,Salud,Psicologia,Economicas,Tecnologia,Sociales,Ingenieria,Exactas","Tecnologia y Ciencias Aplicadas,Formacion Docente para el nivel medio y/o superior universitario y no universitario,Ciencias del Ambiente y Recursos Naturales,Psicopedagogia,Derecho y Ciencias Juridicas,Economia,Mineria,Organizacion y Produccion Industrial,Paisajismo, Jardineria y Floricultura,Ingenieria Vial,Ingenieria Agronomica,Sociologia,Tecnologia e Ingenieria en Alimentos,Nutricion,Quimica,Kinesiologia,Administracion y Gestion Ambiental,Bromatologia,Geofisica,Bioingenieria,Ingenieria Industrial,Comunicacion Social,Trabajo Social,Turismo y Hoteleria,Periodismo,Enfermeria,Educacion Inicial,Contador Publico Nacional,Educacion Especial,Medicina,Servicio Social,Educacion Fisica y Deportes,Electronica,Abogacia,Biologia,Produccion e Ingenieria Agropecuaria,Artes Plasticas,Gestion y Administracion de Empresas,Finanzas y Negocios,Farmacia,Ingenieria Quimica,Ingenieria Electronica,Laboratorio,Locucion,Psicologia,Matematica,Computacion, Sistemas e Informatica,Geologia,Ingenieria Electromecanica,Ingenieria en Sistemas,Fonoaudiologia,Higiene y Seguridad Industrial,Redes y Telecomunicaciones,Ciencia Politica,Ingles,Bioquimica,Filosofia,Produccion Animal,Administracion y Gestion Cultural,Otros Idiomas,Fisica,Martillero Publico,Musica,Letras,Ingenieria Electrica,Formacion Docente para el nivel medio y/o superior universitario y no,Artes Audiovisuales,Ciencias de la Educacion,Tecnologia e Ingenieria Minera"
Universidad Nacional del Comahue,Av. Santa Fe 1845,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Santa Fe 1845&provincia=2,"-34.59583822943477,-58.393932130303796",-34.59583822943477,-58.393932130303796,02014,Comuna 2,-34.59583822943477,-58.393932130303796,,,02,Ciudad Autónoma de Buenos Aires,"Derecho,Educacion,Naturales,Abogado,Salud,Psicologia,Tecnologia,Economicas,Sociales,Letras,Ingenieria,Exactas","Formacion Docente de Nivel Superior y Universitario,Administracion Hospitalaria y de Sistemas de Salud,Ingenieria Forestal e Industrias de la Madera,Formacion Docente para el nivel medio y/o superior universitario y no universitario,Ciencias del Ambiente y Recursos Naturales,Psicopedagogia,Derecho y Ciencias Juridicas,Economia,Paisajismo, Jardineria y Floricultura,Sociologia,Ingenieria Agronomica,Ciencias de la Educacion,Tecnologia e Ingenieria en Alimentos,Quimica,Educacion Basica,Comercializacion y Marketing,Bromatologia,Administracion y Gestion Ambiental,Ingenieria Civil,Topografia y Cartografia,Ingenieria Industrial,Carrera No Definida,Comunicacion Social,Turismo y Hoteleria,Trabajo Social,Geografia,Enfermeria,Educacion Inicial,Relaciones Laborales,Administracion Publica,Contador Publico Nacional,Medicina,Servicio Social,Educacion Fisica y Deportes,Administracion Hotelera,Contabilidad,Abogacia,Biologia,Produccion e Ingenieria Agropecuaria,Gestion y Administracion de Empresas,Historia,Arquitectura y Urbanismo,Ingenieria Quimica,Ingenieria Electronica,Psicologia,Locucion,Matematica,Computacion, Sistemas e Informatica,Geologia,Ingenieria Mecanica,Higiene y Seguridad Industrial,Enologia y Frutihorticultura,Ciencia Politica,Ingles,Sanidad y Saneamiento Ambiental,Filosofia,Produccion Animal,Estadistica,Relaciones Institucionales y Humanas,Antropologia,Ingenieria Geodesta Geofisica, Nuclear, Energetica y en Petroleo,Produccion e Ingenieria Pesquera,Bibliotecologia y Documentacion,Letras,Formacion Docente para el nivel medio y/o superior universitario y no,Ingenieria Electrica,Tecnologia e Ingenieria Minera,Marketing y Comercializacion,Administracion de Empresas Agropecuarias"
Universidad Nacional del Sur,Av. Alem 1253,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Alem 1253&provincia=6,"-38.67866305629395,-62.29611089500422",-38.67866305629395,-62.29611089500422,06056,Bahía Blanca,-38.67866305629395,-62.29611089500422,060056,Bahía Blanca,06,Buenos Aires,"Derecho,Arquitectura,Naturales,Educacion,Abogado,Arte,Salud,Exactas,Economicas,Tecnologia,Sociales,Ingenieria","Administracion Hospitalaria y de Sistemas de Salud,Tecnologia y Ciencias Aplicadas,Formacion Docente para el nivel medio y/o superior universitario y no universitario,Ciencias del Ambiente y Recursos Naturales,Derecho y Ciencias Juridicas,Economia,Ingenieria Agronomica,Comercializacion y Marketing,Geofisica,Tecnologia e Ingenieria en Alimentos,Quimica,Educacion Basica,Ingenieria en Agrimensura,Ciencias de la Educacion,Sociologia,Ingenieria Civil,Ingenieria Industrial,Ingenieria en Materiales,Turismo y Hoteleria,optica,Geografia,Enfermeria,Educacion Inicial,Comercio Internacional,Relaciones Laborales,Administracion Publica,Contador Publico Nacional,Medicina,Contabilidad,Abogacia,Biologia,Produccion e Ingenieria Agropecuaria,Gestion y Administracion de Empresas,Historia,Arquitectura y Urbanismo,Finanzas y Negocios,Farmacia,Ingenieria Quimica,Agrimensura,Ingenieria Electronica,Geologia,Matematica,Computacion, Sistemas e Informatica,Ingenieria Electromecanica,Ingenieria en Sistemas,Ingenieria Mecanica,Higiene y Seguridad Industrial,Ciencia Politica,Martillero Publico,Bioquimica,Filosofia,Administracion y Gestion Cultural,Fisica,Salud Publica,Letras,Formacion Docente para el nivel medio y/o superior universitario y no,Artes Audiovisuales,Ingenieria Electrica,Administracion de Empresas Agropecuarias"
Universidad de Buenos Aires,Viamonte 430,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Viamonte 430&provincia=2,"-34.59971093266858,-58.37308898582941",-34.59971093266858,-58.37308898582941,02007,Comuna 1,-34.59971093266858,-58.37308898582941,,,02,Ciudad Autónoma de Buenos Aires,"Otros,Derecho,Arquitectura,Naturales,Educacion,Abogado,Arte,Salud,Psicologia,Economicas,Tecnologia,Sociales,Letras,Ingenieria,Deporte,Exactas","Formacion Docente para el nivel medio y/o superior universitario y no universitario,Ciencias del Ambiente y Recursos Naturales,Ingenieria Agronomica,Comercializacion y Marketing,Tecnologia e Ingenieria en Alimentos,Ingenieria en Agrimensura,Administracion y Gestion Ambiental,Instrumentacion Quirurgica,Turismo y Hoteleria,Periodismo,Geografia,Dermatologia y Podologia,Contador Publico Nacional,Educacion Media,Contabilidad,Biologia,Arquitectura y Urbanismo,Ingenieria Quimica,Laboratorio,Psicologia,Geologia,Ingenieria Naval,Ingenieria en Sistemas,Fonoaudiologia,Ingenieria Hidraulica,Ingles,Martillero Publico,Sanidad y Saneamiento Ambiental,Produccion Animal,Administracion y Gestion Cultural,Antropologia,Odontologia,Bibliotecologia y Documentacion,Letras,Ingenieria Forestal e Industrias de la Madera,Economia,Organizacion y Produccion Industrial,Paisajismo, Jardineria y Floricultura,Kinesiologia,Quimica,Sociologia,Nutricion,Relaciones Laborales,Educacion Inicial,Actuario,Veterinaria,Produccion e Ingenieria Agropecuaria,Abogacia,Gestion y Administracion de Empresas,Historia,Higiene y Seguridad Industrial,Redes y Telecomunicaciones,Ciencia Politica,Filosofia,Fisica,Musica,Logistica y Transportes,Artes Audiovisuales,Ciencias de la Educacion,Bioingenieria,Formacion Docente de Nivel Superior y Universitario,Administracion Hospitalaria y de Sistemas de Salud,Bioterio,Derecho y Ciencias Juridicas,Ingenieria Vial,Bromatologia,Meteorologia,Trabajo Social,optica,Diseño Textil y de Indumentaria,Frances,Diseño Grafico,Administracion Publica,Medicina,Relaciones Internacionales,Finanzas y Negocios,Agrimensura,Comercio Exterior,Matematica,Computacion, Sistemas e Informatica,Bioquimica,Otros Idiomas,Ingenieria Geodesta Geofisica, Nuclear, Energetica y en Petroleo,Criminologia,Terapia Ocupacional,Ingenieria Metalurgica,Ingenieria Electrica,Tecnologia y Ciencias Aplicadas,Psicopedagogia,Astronomia,Diseño de Interiores,Construcciones,Carrera No Definida,Ingenieria Civil,Ingenieria Industrial,Comunicacion Social,Comercio Internacional,Enfermeria,Diseño Industrial,Arqueologia,Radiologia y Diagnostico por Imagenes,Obstetricia,Artes Plasticas,Farmacia,Ingenieria Electronica,Aleman,Ingenieria Mecanica,Portugues,Ingenieria en Telecomunicaciones,Estadistica,Salud Publica,Formacion Docente para el nivel medio y/o superior universitario y no,Anestesiologia,Italiano,Marketing y Comercializacion,Administracion de Empresas Agropecuarias"
Universidad Católica de Salta,Av. Presidente Roque Sáenz Peña 950,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Presidente Roque Sáenz Peña 950&provincia=2,"-24.7399552,-65.3940334",-24.7399552,-65.3940334,66028,Capital,-24.7399552,-65.3940334,660063,Salta,66,Salta,,
