universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,latitud,longitud,municipio_id,municipio_nombre,provincia_id,provincia_nombre,carrera_grupo,carrera_nombre
Escuela Universitaria de Teologia,Escuela Universitaria de Teologia,Pasaje Catedral 1750,,"-36.4494181,-57.7686044",,,,,,,,,,,,,,,,,,,,,,-36.4494181,-57.7686044,6238.0,Dolores,-36.4494181,-57.7686044,60238.0,Dolores,06,Buenos Aires,Educación,"Formacion Docente para el nivel medio y/o superíor Universitario y no Universitario,Formacion Docente para el nivel medio y/o superíor Universitario y no,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias Humanas"
Facultad Latinoamericana de Ciencias Sociales,Facultad Latinoamericana de Ciencias Sociales,Tucumán 1966,,"-34.6021735,-58.3972997",,,,,,,,,,,,,,,,,,,,,,-34.6021735,-58.3972997,2021.0,Comuna 3,-34.6021735,-58.3972997,,,02,Ciudad Autónoma de Buenos Aires,"Educación,Sociales,Arte,Psicologia,Naturales,Derecho,Economicas","Filosofia,Ciencia Politica,Ciencias del Ambiente y Recursos Naturales,Administración Publica,Ciencias de la Educación,Sociología,Enfermería,Psicologia,Economía,Psicología,Administración Pública,Gestion y Administración de Empresas,Derecho y Ciencias Jurídicas,Psicopedagogía,Gestión y Administración de Empresas,Ciencia Política,Relaciones Internacionales,Psicopedagogia,Filosofía,Derecho y Ciencias Juridicas,Administración y Gestión Cultural,Sociologia,Economia,Relaciones Laborales,Antropología"
Instituto Tecnológico de Buenos Aires,Instituto Tecnológico de Buenos Aires,Av. Eduardo Madero 399,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Eduardo Madero 399&provincia=2,"-34.6028340446427,-58.368183272295",,,,,,,,,,,,,,,,,,,,,,-34.6028340446427,-58.368183272295,2007.0,Comuna 1,-34.6028340446427,-58.368183272295,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Salud,Ingeniería,Naturales,Exactas,Economicas","BioIngeniería,Ingeniería Electronica,Computación, Sistemas e Informática,Ingeniería Electrónica,Ingeniería Naval,Ingeniería en Sistemas,Ingeniería Química,Ingeniería en Telecomunicaciones,Finanzas y Negocios,Ingeniería Eléctrica,Carrera No Definida,Administración y Gestión Ambiental,Ingeniería Industrial,Ingeniería Civil,Ingeniería Geodesta Geofisica, Nuclear, Energetica y en Petróleo,Ingeniería  Eléctrica,Ingeniería Mecánica,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Bioingeniería,Ingeniería Geodesta Geofísica, Nuclear, Energética y en Petróleo"
Instituto Universitario Aeronáutico,Instituto Universitario Aeronáutico,Av. Fuerza Aerea Argentina 6500,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Fuerza Aerea Argentina 6500&provincia=14,"-31.4337174,-64.2779779",,,,,,,,,,,,,,,,,,,,,,-31.4337174,-64.2779779,14014.0,Capital,-31.4337174,-64.2779779,140077.0,Córdoba,14,Córdoba,,
Instituto Universitario CEMIC,Instituto Universitario CEMIC,Valdenegro 4337,,"-34.5547176,-58.4972877",,,,,,,,,,,,,,,,,,,,,,-34.554717600000004,-58.4972877,2084.0,Comuna 12,-34.554717600000004,-58.4972877,,,02,Ciudad Autónoma de Buenos Aires,"Educación,Salud","Enfermería,Laboratorío,Laboratorio,Formación Docente para el nivel medio y/o superior universitario y no universitario - Ciencias de la Salud,Bioquímica,Nutrición,Terapia Ocupacional,Bioquimica,Enfermeria,Odontología,Carrera No Definida,Nutricion,Medicina"
Instituto Universitario de Ciencias Biomedicas de Córdoba,Instituto Universitario de Ciencias Biomedicas de Córdoba,Naciones Unidas 400-440,,"-31.4421202,-64.2033758",,,,,,,,,,,,,,,,,,,,,,-31.442120199999998,-64.20337579999999,14014.0,Capital,-31.442120199999998,-64.20337579999999,140077.0,Córdoba,14,Córdoba,,
Instituto Universitario de Ciencias de la Salud de la Fundación Barceló,Instituto Universitario de Ciencias de la Salud de la Fundación Barceló,Av. Gral. Las Heras 1907,,"-34.5951617,-58.4021427",,,,,,,,,,,,,,,,,,,,,,-34.595161700000006,-58.402142700000006,2014.0,Comuna 2,-34.595161700000006,-58.402142700000006,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Economicas,Psicologia,Naturales,Salud","Kinesiologia,Psicología,Geriatria y Gerontologia,Laboratorío,Laboratorio,Kinesiología,Salud Publica,Instrumentacion Quirurgica,Geriatría y Gerontología,Nutrición,Psicologia,Salud Pública,Computación, Sistemas e Informática,Instrumentación Quirúrgica,Nutricion,Administración Hospitalaria y de Sistemas de Salud,Medicina"
Instituto Universitario de Gendarmeria Nacional,Instituto Universitario de Gendarmeria Nacional,Av. Paseo Colón 533,,"-34.6142528,-58.371724",,,,,,,,,,,,,,,,,,,,,,-34.614252799999996,-58.371724,2007.0,Comuna 1,-34.614252799999996,-58.371724,,,02,Ciudad Autónoma de Buenos Aires,"Tecnologia,Educación,Sociales,Policial,Economicas","Formación Docente de Nivel Superior y Universitario,Comunicacion Social,Formacion Docente de Nivel Superíor y Universitario,Administración Publica,Comunicación Social,Administración Pública,Gestion y Administración de Empresas,Gestión y Administración de Empresas,Criminologia,Ciencia Política,Accidentología,Accidentologia,Computación, Sistemas e Informática,Criminología"
Instituto Universitario de la Policía Federal Argentina,Instituto Universitario de la Policía Federal Argentina,Rosario 532,,"-34.6196133,-58.4382653",,,,,,,,,,,,,,,,,,,,,,-34.6196133,-58.43826529999999,2042.0,Comuna 6,-34.6196133,-58.43826529999999,,,02,Ciudad Autónoma de Buenos Aires,,
Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Instituto Universitario de Salud Mental de la Asociación Psicoanalítica de Buenos Aires,Báez 248,,"-34.567895,-58.4361568",,,,,,,,,,,,,,,,,,,,,,-34.567895,-58.4361568,2098.0,Comuna 14,-34.567895,-58.4361568,,,02,Ciudad Autónoma de Buenos Aires,"Psicologia,Salud","Psicología,Trabajo Social,Salud Publica,Psicologia,Salud Pública"
